+1 1:590 2:298 3:186
+1 1:595 2:296 3:182
+1 1:600 2:297 3:180
+1 1:500 2:571 3:712
+1 1:505 2:543 3:687
+1 1:510 2:522 3:661
+1 1:515 2:498 3:634
+1 1:520 2:481 3:606
+1 1:525 2:466 3:581
+1 1:530 2:453 3:559
+1 1:535 2:439 3:533
+1 1:540 2:429 3:511
+1 1:545 2:416 3:486
+1 1:550 2:404 3:459
+1 1:555 2:394 3:435
+1 1:560 2:383 3:410
+1 1:565 2:373 3:388
+1 1:570 2:366 3:367
+1 1:575 2:359 3:348
+1 1:580 2:354 3:329
+1 1:585 2:347 3:312
+1 1:590 2:340 3:295
+1 1:595 2:336 3:282
+1 1:600 2:330 3:269
+1 1:500 2:428 3:537
+1 1:505 2:407 3:487
+1 1:510 2:389 3:439
+1 1:515 2:374 3:392
+1 1:520 2:359 3:352
+1 1:525 2:350 3:319
+1 1:530 2:338 3:289
+1 1:535 2:331 3:267
+1 1:540 2:325 3:247
+1 1:545 2:321 3:233
+1 1:550 2:315 3:219
+1 1:555 2:312 3:211
+1 1:560 2:308 3:201
+1 1:565 2:305 3:197
+1 1:570 2:303 3:193
+1 1:575 2:301 3:188
+1 1:580 2:299 3:185
+1 1:585 2:297 3:181
+1 1:590 2:294 3:177
+1 1:595 2:293 3:173
+1 1:600 2:292 3:172
+1 1:500 2:482 3:621
+1 1:505 2:456 3:582
+1 1:510 2:433 3:539
+1 1:515 2:412 3:497
+1 1:520 2:397 3:459
+1 1:525 2:385 3:424
+1 1:530 2:373 3:393
+1 1:535 2:365 3:367
+1 1:540 2:357 3:344
+1 1:545 2:352 3:325
+1 1:550 2:345 3:311
+1 1:555 2:342 3:298
+1 1:560 2:339 3:287
+1 1:565 2:334 3:279
+1 1:570 2:332 3:270
+1 1:575 2:329 3:263
+1 1:580 2:327 3:257
+1 1:585 2:325 3:254
+1 1:590 2:325 3:250
+1 1:595 2:324 3:245
+1 1:600 2:324 3:244
+1 1:500 2:455 3:591
+1 1:505 2:432 3:547
+1 1:510 2:413 3:501
+1 1:515 2:393 3:454
+1 1:520 2:378 3:412
+1 1:525 2:367 3:375
+1 1:530 2:356 3:344
+1 1:535 2:347 3:317
+1 1:540 2:339 3:293
+1 1:545 2:334 3:274
+1 1:550 2:327 3:259
+1 1:555 2:322 3:246
+1 1:560 2:318 3:233
+1 1:565 2:315 3:225
+1 1:570 2:312 3:219
+1 1:575 2:308 3:212
+1 1:580 2:305 3:205
+1 1:585 2:302 3:199
+1 1:590 2:300 3:193
+1 1:595 2:300 3:189
+1 1:600 2:298 3:186
+1 1:500 2:649 3:755
+1 1:505 2:620 3:736
+1 1:510 2:590 3:712
+1 1:515 2:560 3:686
+1 1:520 2:535 3:660
+1 1:525 2:512 3:637
+1 1:530 2:494 3:612
+1 1:535 2:475 3:586
+1 1:540 2:459 3:560
+1 1:545 2:445 3:536
+1 1:550 2:428 3:507
+1 1:555 2:419 3:484
+1 1:560 2:408 3:455
+1 1:565 2:397 3:429
+1 1:570 2:386 3:405
+1 1:575 2:378 3:384
+1 1:580 2:369 3:362
+1 1:585 2:364 3:345
+1 1:590 2:359 3:328
+1 1:595 2:351 3:310
+1 1:600 2:345 3:295
-1 1:500 2:537 3:486
-1 1:505 2:507 3:440
-1 1:510 2:482 3:395
-1 1:515 2:460 3:351
-1 1:520 2:436 3:303
-1 1:525 2:415 3:259
-1 1:530 2:396 3:218
-1 1:535 2:378 3:185
-1 1:540 2:367 3:158
-1 1:545 2:355 3:134
-1 1:550 2:344 3:115
-1 1:555 2:335 3:101
-1 1:560 2:327 3:90
-1 1:565 2:318 3:80
-1 1:570 2:312 3:73
-1 1:575 2:308 3:67
-1 1:580 2:303 3:62
-1 1:585 2:300 3:59
-1 1:590 2:296 3:55
-1 1:595 2:293 3:52
-1 1:600 2:290 3:50
-1 1:500 2:497 3:393
-1 1:505 2:473 3:347
-1 1:510 2:450 3:301
-1 1:515 2:431 3:259
-1 1:520 2:412 3:220
-1 1:525 2:395 3:186
-1 1:530 2:378 3:157
-1 1:535 2:365 3:133
-1 1:540 2:355 3:114
-1 1:545 2:344 3:99
-1 1:550 2:335 3:85
-1 1:555 2:326 3:76
-1 1:560 2:315 3:68
-1 1:565 2:310 3:61
-1 1:570 2:306 3:57
-1 1:575 2:301 3:52
-1 1:580 2:296 3:49
-1 1:585 2:293 3:45
-1 1:590 2:284 3:43
-1 1:595 2:283 3:41
-1 1:600 2:281 3:39
-1 1:500 2:330 3:62
-1 1:505 2:320 3:52
-1 1:510 2:312 3:45
-1 1:515 2:301 3:40
-1 1:520 2:296 3:38
-1 1:525 2:290 3:35
-1 1:530 2:284 3:34
-1 1:535 2:280 3:31
-1 1:540 2:276 3:31
-1 1:545 2:270 3:30
-1 1:550 2:268 3:29
-1 1:555 2:266 3:30
-1 1:560 2:261 3:28
-1 1:565 2:257 3:28
-1 1:570 2:258 3:26
-1 1:575 2:256 3:26
-1 1:580 2:254 3:26
-1 1:585 2:252 3:26
-1 1:590 2:251 3:26
-1 1:595 2:248 3:25
-1 1:600 2:247 3:25
-1 1:500 2:330 3:62
-1 1:505 2:320 3:52
-1 1:510 2:312 3:45
-1 1:515 2:301 3:40
-1 1:520 2:296 3:38
-1 1:525 2:290 3:35
-1 1:530 2:284 3:34
-1 1:535 2:280 3:31
-1 1:540 2:276 3:31
-1 1:545 2:270 3:30
-1 1:550 2:268 3:29
-1 1:555 2:266 3:30
-1 1:560 2:261 3:28
-1 1:565 2:257 3:28
-1 1:570 2:258 3:26
-1 1:575 2:256 3:26
-1 1:580 2:254 3:26
-1 1:585 2:252 3:26
-1 1:590 2:251 3:26
-1 1:595 2:248 3:25
-1 1:600 2:247 3:25
-1 1:500 2:277 3:122
-1 1:505 2:272 3:116
-1 1:510 2:269 3:111
-1 1:515 2:265 3:108
-1 1:520 2:262 3:105
-1 1:525 2:260 3:100
-1 1:530 2:257 3:99
-1 1:535 2:254 3:98
-1 1:540 2:254 3:98
-1 1:545 2:252 3:96
-1 1:550 2:251 3:95
-1 1:555 2:250 3:93
-1 1:560 2:247 3:93
-1 1:565 2:246 3:91
-1 1:570 2:246 3:93
-1 1:575 2:244 3:89
-1 1:580 2:243 3:90
-1 1:585 2:244 3:90
-1 1:590 2:242 3:88
-1 1:595 2:241 3:88
-1 1:600 2:242 3:87
-1 1:500 2:320 3:160
-1 1:505 2:310 3:143
-1 1:510 2:302 3:128
-1 1:515 2:292 3:118
-1 1:520 2:285 3:109
-1 1:525 2:282 3:100
-1 1:530 2:276 3:95
-1 1:535 2:273 3:91
-1 1:540 2:267 3:86
-1 1:545 2:264 3:84
-1 1:550 2:261 3:82
-1 1:555 2:259 3:81
-1 1:560 2:255 3:78
-1 1:565 2:254 3:78
-1 1:570 2:253 3:79
-1 1:575 2:251 3:79
-1 1:580 2:249 3:76
-1 1:585 2:245 3:73
-1 1:590 2:245 3:74
-1 1:595 2:245 3:73
-1 1:600 2:244 3:74
-1 1:500 2:408 3:349
-1 1:505 2:392 3:309
-1 1:510 2:374 3:272
-1 1:515 2:358 3:238
-1 1:520 2:345 3:210
-1 1:525 2:336 3:186
-1 1:530 2:326 3:165
-1 1:535 2:318 3:149
-1 1:540 2:310 3:134
-1 1:545 2:302 3:123
-1 1:550 2:295 3:113
-1 1:555 2:290 3:105
-1 1:560 2:287 3:100
-1 1:565 2:281 3:95
-1 1:570 2:278 3:90
-1 1:575 2:272 3:85
-1 1:580 2:270 3:83
-1 1:585 2:267 3:80
-1 1:590 2:264 3:78
-1 1:595 2:262 3:76
-1 1:600 2:260 3:74
-1 1:500 2:401 3:339
-1 1:505 2:382 3:297
-1 1:510 2:368 3:259
-1 1:515 2:353 3:225
-1 1:520 2:340 3:196
-1 1:525 2:329 3:172
-1 1:530 2:317 3:151
-1 1:535 2:310 3:136
-1 1:540 2:304 3:123
-1 1:545 2:297 3:114
-1 1:550 2:292 3:106
-1 1:555 2:287 3:101
-1 1:560 2:282 3:95
-1 1:565 2:276 3:91
-1 1:570 2:275 3:89
-1 1:575 2:271 3:86
-1 1:580 2:268 3:83
-1 1:585 2:266 3:81
-1 1:590 2:264 3:79
-1 1:595 2:261 3:78
-1 1:600 2:260 3:77
-1 1:500 2:401 3:360
-1 1:505 2:382 3:315
-1 1:510 2:367 3:273
-1 1:515 2:354 3:239
-1 1:520 2:342 3:211
-1 1:525 2:331 3:187
-1 1:530 2:323 3:169
-1 1:535 2:317 3:157
-1 1:540 2:311 3:143
-1 1:545 2:305 3:134
-1 1:550 2:299 3:125
-1 1:555 2:296 3:119
-1 1:560 2:293 3:115
-1 1:565 2:290 3:111
-1 1:570 2:285 3:107
-1 1:575 2:282 3:104
-1 1:580 2:281 3:101
-1 1:585 2:277 3:98
-1 1:590 2:276 3:97
-1 1:595 2:273 3:95
-1 1:600 2:271 3:93
