+1  1:540 2:353 3:310
+1  1:545 2:353 3:304
+1  1:550 2:350 3:298
+1  1:555 2:350 3:294
+1  1:560 2:347 3:289
+1  1:565 2:349 3:288
+1  1:570 2:347 3:285
+1  1:575 2:345 3:284
+1  1:580 2:347 3:284
+1  1:585 2:347 3:286
+1  1:590 2:350 3:288
+1  1:595 2:352 3:288
+1  1:600 2:350 3:290
+1  1:0 2:332 3:220
+1  1:5 2:335 3:225
+1  1:10 2:339 3:230
+1  1:15 2:343 3:236
+1  1:20 2:345 3:240
+1  1:25 2:349 3:246
+1  1:30 2:353 3:250
+1  1:35 2:352 3:255
+1  1:40 2:355 3:259
+1  1:45 2:358 3:264
+1  1:50 2:362 3:269
+1  1:55 2:364 3:273
+1  1:60 2:367 3:279
+1  1:65 2:370 3:291
+1  1:70 2:659 3:742
+1  1:75 2:767 3:823
+1  1:80 2:825 3:855
+1  1:85 2:858 3:866
+1  1:90 2:877 3:868
+1  1:95 2:888 3:869
+1  1:100 2:898 3:872
+1  1:105 2:904 3:875
+1  1:110 2:909 3:878
+1  1:115 2:914 3:882
+1  1:120 2:911 3:879
+1  1:125 2:911 3:880
+1  1:130 2:910 3:879
+1  1:135 2:911 3:880
+1  1:140 2:908 3:879
+1  1:145 2:906 3:877
+1  1:150 2:905 3:878
+1  1:155 2:906 3:880
+1  1:160 2:905 3:879
+1  1:165 2:906 3:879
+1  1:170 2:908 3:882
+1  1:175 2:909 3:884
+1  1:180 2:910 3:883
+1  1:185 2:907 3:882
+1  1:190 2:905 3:880
+1  1:195 2:905 3:881
+1  1:200 2:907 3:883
+1  1:205 2:905 3:882
+1  1:210 2:907 3:885
+1  1:215 2:908 3:884
+1  1:220 2:905 3:881
+1  1:225 2:904 3:881
+1  1:230 2:907 3:884
+1  1:235 2:903 3:881
+1  1:240 2:903 3:883
+1  1:245 2:903 3:882
+1  1:250 2:903 3:881
+1  1:255 2:905 3:884
+1  1:260 2:901 3:881
+1  1:265 2:904 3:884
+1  1:270 2:903 3:882
+1  1:275 2:905 3:883
+1  1:280 2:902 3:882
+1  1:285 2:901 3:880
+1  1:290 2:902 3:883
+1  1:295 2:902 3:881
+1  1:300 2:897 3:879
+1  1:305 2:898 3:878
+1  1:310 2:900 3:881
+1  1:315 2:897 3:878
+1  1:320 2:897 3:878
+1  1:325 2:900 3:881
+1  1:330 2:900 3:881
+1  1:335 2:897 3:879
+1  1:340 2:898 3:879
+1  1:345 2:897 3:879
+1  1:350 2:900 3:880
+1  1:355 2:896 3:878
+1  1:360 2:900 3:881
+1  1:365 2:897 3:879
+1  1:370 2:900 3:882
+1  1:375 2:897 3:878
+1  1:380 2:900 3:882
+1  1:385 2:900 3:883
+1  1:390 2:900 3:883
+1  1:395 2:899 3:882
+1  1:400 2:897 3:881
+1  1:405 2:896 3:881
+1  1:410 2:896 3:880
+1  1:415 2:899 3:882
+1  1:420 2:898 3:882
+1  1:425 2:897 3:878
+1  1:430 2:910 3:883
+1  1:435 2:904 3:883
+1  1:440 2:899 3:881
+1  1:445 2:885 3:875
+1  1:450 2:875 3:873
+1  1:455 2:860 3:867
+1  1:460 2:839 3:857
+1  1:465 2:818 3:847
+1  1:470 2:795 3:839
+1  1:475 2:766 3:823
+1  1:480 2:737 3:809
+1  1:485 2:704 3:791
+1  1:490 2:674 3:776
+1  1:495 2:645 3:759
+1  1:500 2:614 3:735
+1  1:505 2:586 3:714
+1  1:510 2:557 3:686
+1  1:515 2:532 3:662
+1  1:520 2:510 3:635
+1  1:525 2:489 3:606
+1  1:530 2:469 3:577
+1  1:535 2:453 3:548
+1  1:540 2:435 3:516
+1  1:545 2:422 3:488
+1  1:550 2:408 3:459
+1  1:555 2:399 3:432
+1  1:560 2:387 3:405
+1  1:565 2:375 3:378
+1  1:570 2:366 3:353
+1  1:575 2:358 3:330
+1  1:580 2:349 3:308
+1  1:585 2:343 3:289
+1  1:590 2:335 3:271
+1  1:595 2:330 3:255
+1  1:600 2:326 3:242
+1  1:0 2:310 3:168
+1  1:5 2:311 3:171
+1  1:10 2:314 3:174
+1  1:15 2:317 3:180
+1  1:20 2:320 3:183
