+1 1:355 2:917 3:893
+1 1:360 2:916 3:893
+1 1:365 2:913 3:890
+1 1:370 2:909 3:885
+1 1:375 2:911 3:888
+1 1:380 2:914 3:891
+1 1:385 2:917 3:893
+1 1:390 2:915 3:893
+1 1:395 2:914 3:890
+1 1:400 2:914 3:890
+1 1:150 2:925 3:890
+1 1:155 2:925 3:890
+1 1:160 2:922 3:888
+1 1:165 2:924 3:889
+1 1:170 2:923 3:890
+1 1:175 2:923 3:889
+1 1:180 2:917 3:885
+1 1:185 2:915 3:885
+1 1:190 2:919 3:888
+1 1:195 2:919 3:887
+1 1:200 2:919 3:888
+1 1:205 2:921 3:891
+1 1:210 2:922 3:892
+1 1:215 2:920 3:891
+1 1:220 2:919 3:890
+1 1:225 2:917 3:887
+1 1:230 2:914 3:884
+1 1:235 2:918 3:889
+1 1:240 2:920 3:890
+1 1:245 2:921 3:892
+1 1:250 2:918 3:889
+1 1:255 2:917 3:889
+1 1:260 2:918 3:891
+1 1:265 2:918 3:890
+1 1:270 2:917 3:889
+1 1:275 2:915 3:889
+1 1:280 2:912 3:884
+1 1:285 2:915 3:886
+1 1:290 2:914 3:888
+1 1:295 2:911 3:884
+1 1:300 2:914 3:887
+1 1:305 2:911 3:884
+1 1:310 2:912 3:885
+1 1:315 2:912 3:886
+1 1:320 2:912 3:887
+1 1:325 2:914 3:888
+1 1:330 2:917 3:891
+1 1:335 2:917 3:891
+1 1:340 2:914 3:889
+1 1:345 2:914 3:888
+1 1:350 2:916 3:890
+1 1:355 2:913 3:887
+1 1:360 2:916 3:888
+1 1:365 2:916 3:890
+1 1:370 2:913 3:888
+1 1:375 2:916 3:889
+1 1:380 2:912 3:888
+1 1:385 2:912 3:888
+1 1:390 2:913 3:889
+1 1:395 2:914 3:889
+1 1:400 2:911 3:886
+1 1:150 2:924 3:888
+1 1:155 2:927 3:890
+1 1:160 2:926 3:888
+1 1:165 2:927 3:890
+1 1:170 2:923 3:887
+1 1:175 2:919 3:884
+1 1:180 2:918 3:884
+1 1:185 2:920 3:886
+1 1:190 2:921 3:885
+1 1:195 2:919 3:885
+1 1:200 2:920 3:887
+1 1:205 2:921 3:888
+1 1:210 2:921 3:888
+1 1:215 2:923 3:890
+1 1:220 2:920 3:888
+1 1:225 2:922 3:889
+1 1:230 2:920 3:888
+1 1:235 2:919 3:886
+1 1:240 2:918 3:887
+1 1:245 2:915 3:883
+1 1:250 2:917 3:885
+1 1:255 2:921 3:889
+1 1:260 2:919 3:887
+1 1:265 2:919 3:887
+1 1:270 2:921 3:891
+1 1:275 2:919 3:888
+1 1:280 2:918 3:888
